지형지물부호,관리번호,도로구간번호,관리기관,행정구역,연장,면적,폭원,데이터기준일자
차도포장,522,1505,광주시,경안동,105,"1,260.00",12,2019-12-25
차도포장,521,715,광주시,송정동,8.9,297.6,0.7,2019-12-25
차도포장,520,1464,광주시,경안동,6.5,90.3,0.7,2019-12-25
차도포장,519,1307,광주시,경안동,19,15.2,0.7,2019-12-25
차도포장,518,106,광주시,송정동,5,3.5,0.7,2019-12-25
차도포장,517,100266,광주시,오포읍,0.6,"3,823.00",0.7,2019-12-25
차도포장,516,123297,광주시,초월읍,28.1,3,0.7,2019-12-25
차도포장,515,420,광주시,경안동,5,3.5,0.7,2019-12-25
차도포장,514,160747,광주시,광남동,158.99,537.21,3.38,2019-12-25
차도포장,513,422,광주시,경안동,2,1.4,0.7,2019-12-25
차도포장,512,673,광주시,송정동,30,16,0.7,2019-12-25
차도포장,511,122803,광주시,곤지암읍,84.9,0.97,1,2019-12-25
차도포장,510,1097,광주시,경안동,1,0.7,0.7,2019-12-25
차도포장,509,120645,광주시,오포읍,0.1,30,0.7,2019-12-25
차도포장,508,1422,광주시,경안동,3.4,683.4,0.7,2019-12-25
차도포장,507,120025,광주시,오포읍,40.59,81.36,2.31,2019-12-25
차도포장,506,1915,광주시,송정동,5,3.5,0.7,2019-12-25
차도포장,505,100195,광주시,오포읍,2,1.4,0.7,2019-12-25
차도포장,504,851,광주시,송정동,6,4.2,0.7,2019-12-25
차도포장,503,1339,광주시,경안동,6.4,13.97,0.7,2019-12-25
차도포장,502,1802,광주시,송정동,36,25.2,0.7,2019-12-25
차도포장,501,120975,광주시,오포읍,0.6,"3,823.00",0.7,2019-12-25
차도포장,500,100308,광주시,오포읍,236,317.91,1,2019-12-25
차도포장,499,42,광주시,경안동,3,2.1,0.7,2019-12-25
차도포장,498,1475,광주시,경안동,7,4.9,0.7,2019-12-25
차도포장,497,205,광주시,경안동,59,41.3,0.7,2019-12-25
차도포장,496,121363,광주시,오포읍,4,5.6,1.4,2019-12-25
차도포장,495,894,광주시,송정동,7.5,9.19,0.7,2019-12-25
차도포장,494,160889,광주시,경안동,381.36,"3,105.67",8.14,2019-12-25
차도포장,493,267,광주시,경안동,39,27.3,0.7,2019-12-25
차도포장,492,121402,광주시,오포읍,25.6,"13,641.00",0.7,2019-12-25
차도포장,491,730,광주시,송정동,7,4.9,0.7,2019-12-25
차도포장,490,120645,광주시,오포읍,45.5,85,0.7,2019-12-25
차도포장,489,725,광주시,송정동,5.8,184.4,0.7,2019-12-25
차도포장,488,123195,광주시,곤지암읍,242.5,"6,642.23",18.4,2019-12-25
차도포장,487,160523,광주시,광남동,39.66,804.67,21.38,2019-12-25
